id,category
1,5
2,3
3,5
4,3
5,2
6,3
7,1
8,2
9,4
10,5
11,2
12,4
13,1
14,3
15,1
16,1
17,2
18,3
19,5
20,1
21,2
22,1
23,5
24,3
25,2
26,3
27,1
28,3
29,1
30,5
31,1
32,4
33,2
34,3
35,3
36,1
37,3
38,1
39,2
40,3
41,1
42,2
43,4
44,3
45,2
46,4
47,5
48,5
49,1
50,5
51,1
52,5
53,5
54,4
55,4
56,5
57,3
58,1
59,3
60,2
61,3
62,3
63,1
64,1
65,2
66,2
67,1
68,3
69,3
70,3
71,3
72,5
73,5
74,3
75,3
76,5
77,5
78,2
79,3
80,5
81,2
82,3
83,5
84,1
85,1
86,2
87,5
88,3
89,3
90,3
91,2
92,3
93,2
94,1
95,5
96,2
97,5
98,1
99,2
100,1
101,4
102,3
103,5
104,3
105,5
106,3
107,5
108,3
109,3
110,1
111,2
112,3
113,5
114,3
115,5
116,3
117,1
118,4
119,2
120,3
121,3
122,1
123,1
124,2
125,1
126,3
127,2
128,3
129,1
130,1
131,2
132,1
133,1
134,1
135,2
136,1
137,4
138,3
139,1
140,1
141,1
142,3
143,5
144,3
145,3
146,1
147,5
148,3
149,5
150,2
151,1
152,1
153,5
154,3
155,1
156,1
157,3
158,3
159,2
160,3
161,3
162,3
163,4
164,1
165,3
166,2
167,2
168,4
169,5
170,3
171,2
172,1
173,5
174,5
175,5
176,2
177,2
178,5
179,3
180,1
181,2
182,3
183,5
184,3
185,4
186,4
187,3
188,2
189,3
190,1
191,3
192,3
193,3
194,2
195,1
196,1
197,1
198,2
199,1
200,5
201,5
202,4
203,1
204,1
205,2
206,3
207,5
208,1
209,3
210,5
211,1
212,5
213,4
214,1
215,2
216,1
217,5
218,5
219,1
220,5
221,3
222,1
223,1
224,2
225,2
226,1
227,3
228,3
229,5
230,4
231,1
232,1
233,2
234,3
235,1
236,2
237,1
238,3
239,2
240,4
241,1
242,2
243,1
244,2
245,1
246,5
247,5
248,5
249,1
250,1
251,1
252,2
253,1
254,1
255,5
256,3
257,2
258,5
259,2
260,4
261,2
262,4
263,5
264,5
265,1
266,5
267,2
268,2
269,3
270,1
271,4
272,5
273,5
274,3
275,1
276,3
277,1
278,3
279,2
280,3
281,5
282,3
283,5
284,5
285,2
286,3
287,3
288,2
289,4
290,3
291,1
292,5
293,2
294,3
295,5
296,5
297,5
298,3
299,1
300,2
301,1
302,1
303,2
304,5
305,3
306,5
307,4
308,1
309,2
310,5
311,2
312,5
313,3
314,5
315,1
316,5
317,3
318,3
319,2
320,5
321,2
322,3
323,2
324,1
325,4
326,2
327,4
328,3
329,1
330,4
331,4
332,3
333,5
334,3
335,4
336,5
337,1
338,3
339,5
340,1
341,2
342,5
343,5
344,5
345,1
346,3
347,3
