"id","category","text"
1,1,"13024 8774 880 33597 9124 5384 7975 880 23810 21256 12156 7839 33103 83 9684 7074 272 33597 16435 83 4515 9282 28656 12049 33597 16551 3225 33787 33718 33597 35033 24188 29728 7839 7077 14106 10968 19946 4515 32748 32502 33597 32497 33047 3945 21263 31916 249 14106 24274 9260 249 6918 21263 12156 33667 3225 20999 33597 7559 4515 32748 13785 33718 33597 35033 33718 9636 32596 21263 10050 1194 17989 21263 9872 16476 7258 18778 33047 7749 11105 19000 5384 16816 33481 12911 9868 19000 3225 28287 18764 33718 28246 32160 7587 18858 21263 4515 31061 34323 6345 16082 30676 27926 7839 26268 21263 2492 7839 33597 13945 28025 5384 23596 8005 21117 21263 28287 33667 12156 26883 28629 33797 3225 28287 17929 30245 2584 31061 15522 33597 8385 33047 10334 32748 21263 18627 25488 8243 880 27934 33047 4515 10805 1400 5384 24188 10319 1194 9150 33047 13576 3756 22893 3225 28287 13024 19946 16099 5384 10334 32748 31061 27586 6918 32822 33718 33597 35033 880 33597 7559 16435 3225 17929 13489 83 4515 28656 22470 6918 5951 17850 9684 7074 19946 11844 21263 4603 7839 33597 32086 880 3170 14668 2037 27421 12156 33026 12156 24360 5143 26677 23972 26092 21263 30931 8045 21263 7839 8880 33597 14203 14578 3225 17929 34843 23669 7677 17888 27633 1601 9260 880 32471 27013 33718 33597 2258 16021 23033 34877 20740 3782 3225 2499 16401 27926 7839 33045 27810 10654 26092 272 15698 33718 33597 2379 9124 83 4515 32748 7559 13785 33718 33597 35033 3225 28287 32329 26268 880 16082 15988 249 17344 10334 10805 21263 249 21871 28623 19946 332 33047 17344 16099 32748 21263 28287 33667 10654 26092 21263 32674 34999 17850 8064 8902 3021 23739 33718 4559 3225"
2,2,"10654 14218 33667 33597 29658 29489 16055 1900 272 28287 33718 19151 249 34653 10941 13217 28287 5384 32451 8844 28287 16816 32865 28287 17823 7839 332 10662 3225 28287 27136 33597 29658 29489 33734 272 29328 33597 34987 33047 33597 27375 21263 9872 11042 83 30184 29992 15522 7258 30582 25497 21263 83 8005 22007 7839 9545 7237 5384 8005 272 6385 17070 8005 17639 4118 7839 5343 4115 21263 28287 1601 33667 3225 32061 19946 7237 1900 21263 35033 32251 17929 23977 3623 3378 880 23859 26434 5384 1181 8904 26502 2689 6578 16055 31680 34718 33597 16745 16560 9282 3948 13947 10720 3225 28287 35148 9282 3948 16816 30495 32450 33597 27375 33734 9709 19917 33597 7649 5384 9042 12289 34371 8005 21263 28287 1601 33667 3225 33968 10351 9825 28868 31061 33667 8554 4451 9709 3948 25769 17850 31166 3225 29587 7839 18463 19946 11065 7559 22893 33718 20550 27633 26276 20864 17968 6473 25062 31228 21263 4891 28868 33667 11809 28287 32329 4451 3948 27226 18463 7839 23385 7779 3571 33718 33597 32742 27236 3225 28287 13126 33597 34639 21263 2424 4451 3948 15554 33597 7649 8158 7839 12605 34245 8005 30584 22488 7839 14145 6345 3571 7839 15521 33597 14109 34234 1194 33597 9657 33047 29489 3225 28287 17929 8554 7677 8844 26669 7839 33597 9657 33047 29489 27812 33597 27242 33047 7235 33669 33597 33968 24920 17143 7839 17906 19000 16569 26832 2109 13216 3225 17929 27375 33493 17910 33047 18529 33047 33597 4854 17617 19946 31304 25437 33883 33597 28385 7839 7258 29486 30709 33718 10408 7839 26926 33718 35078 3571 33718 16560 7839 33597 31605 23160 27492 33718 33597 17788 3225 32158 21661 19662 24214 33047 5120 249 16550 33273 3948 1834 2109 33273 34838 7839 3948 30250 3225 17929 29658 29489 33667 33597 31525 8098 26397 249 33597 4854 17617 19946 31304 25437 27633 14314 21044 27818 28287 33718 7258 27926 83 24322 19946 33597 19699 33047 5466 2109 21223 2371 28287 3225 17929 26669 272 10017 1194 7258 26150 33047 6398 27921 12192 34911 32160 33597 17145 728 17070 33047 33597 5286 33490 33047 33597 26669 3225 10654 14218 22485 83 7258 264 33047 5837 1194 33597 5343 27375 20685 18534 7839 10845 5837 33718 10941 25074 10919 27633 33597 4854 27242 33047 31304 25437 33718 27827 3225 28287 26238 33597 27375 8098 9709 7839 19917 7779 1900 9042 30184 30584 10845 6985 21263 14373 22488 33514 880 33597 16174 32674 20685 26567 83 33597 27375 3200 272 14277 2109 272 32071 33597 26758 33047 33597 7649 33047 33597 29658 29489 3225 28287 5176 33667 7258 2531 33047 33597 14272 33047 7843 14167 7258 18395 33047 23977 912 33665 14167 7839 3948 9868 33718 33597 12679 34249 19946 33597 21086 10532 33047 33597 13966 23869 30184 9282 26223 15919 33597 1900 5384 18022 26758 3225 28287 32329 26606 10078 32967 83 7779 7649 4451 3948 107 17850 21263 15263 27633 7258 16816 3311 665 33718 25403 33597 27921 5384 11392 33597 17701 24823 21263 9872 33736 33597 16560 33047 33597 5343 27375 4451 3948 19800 27089 7258 12082 34653 17365 30184 3225 28287"
3,2,"29571 4983 12174 21964 15966 16055 28287 19476 3603 3760 28287 20685 20273 6553 33047 7258 3384 21964 33718 33597 20502 11506 17151 21263 9825 29571 31061 33667 3225 4891 16650 21263 32674 30584 4789 21032 7839 33597 19836 30534 23914 23987 21964 22755 21263 26502 9031 2689 6578 16055 31680 34718 20460 8005 272 9709 29486 7839 2023 33597 13004 32674 8098 28287 18334 2221 33718 23944 32160 13280 3792 28287 3225 28287 34100 24188 18714 8639 1194 33597 27926 2424 26713 23944 33718 29932 3225 31857 7258 9910 30184 880 31302 3225 28287 26539 32251 31302 7839 25186 2054 26856 5384 7839 28287 30754 18334 30931 33597 19051 28287 3225 28287 4137 35014 3948 9709 19670 1468 7839 11042 24195 2424 10538 880 3225 28287 26539 33736 32862 33597 11097 33047 21845 23944 11809 28287 31857 29637 31375 33553 13457 33718 8315 3225 28287 33321 24188 33718 18558 33047 25760 21929 3782 33047 33597 22517 18743 3225 28287 17929 27375 31061 380 7258 12718 33047 15988 33718 11123 17689 7839 29062 23987 21964 21263 18627 21174 7839 8399 15829 33718 33597 3353 11506 17151 33718 23465 3225 17836 31061 23565 16319 33718 22767 5070 33165 7839 30856 17028 31768 5384 5764 13784 25862 3225 17929 10904 33379 21525 25712 14109 23669 29317 5384 15073 34653 5384 3171 24807 9282 22584 1613 32502 33597 11089 3225 19910 33590 30697 27633 11123 30534 6369 17850 32193 25731 7839 29062 23987 22025 3225 31285 20864 7792 16650 33667 27261 8098 9709 25717 9872 15913 3603 33047 28287 27669 23944 28287 5384 9709 346 10017 3225 26539 21263 3836 4891 29571 21263 16520 7839 33597 14635 33047 18214 33047 27261 32674 2617 33312 17023 880 33597 29317 31541 3225"
4,2,"34414 24059 21263 5695 27921 7822 29096 8212 33667 33597 31525 8098 26397 249 33597 4854 17617 19946 31304 25437 27633 14314 21044 27818 28287 33718 7258 27926 83 24322 19946 33597 19699 33047 5466 2109 21223 2371 28287 3225 29096 10395 33047 4770 21263 33718 11065 1900 21263 33667 11809 28287 13988 20523 16569 13216 2109 30709 30584 7981 33718 34591 10272 18627 32442 33597 12049 33047 27921 3225 28287 35148 17126 33597 1834 11887 33047 33597 15328 7258 27660 30709 30584 5710 7839 23440 3225 28287 13126 7258 3950 7839 33597 16745 1276 34425 21263 33597 9657 33047 29489 27921 12192 2818 1194 11123 17823 7839 332 10662 33718 28442 33047 25911 1194 6398 8554 3225 1634 33047 33597 26946 24188 346 25002 9868 33718 35063 9502 21263 5914 3425 3225 17929 27921 12192 33667 33597 34425 8098 26397 249 4854 23859 26434 31524 3225 17929 26946 4451 5562 30181 12885 18829 11586 33 32193 7839 30588 3225 17929 1900 14435 7258 27187 5248 880 9825 28868 19946 11065 7559 22893 27633 26276 20864 17968 6473 25062 31228 3225 17929 10904 11808 11042 4891 28868 35014 25497 33597 33429 681 30584 3865 7839 33597 882 7839 9604 24807 249 7258 27921 27324 1194 11065 16790 21263 6473 1880 3225 35063 9502 31061 15522 28631 9694 10584 13058 1194 11869 26434 9576 8809 7839 33597 25497 33047 434 1276 31524 3225 17929 8554 7677 8844 26669 7839 33597 9657 33047 29489 27812 33597 27242 33047 7235 33669 33597 33968 24920 17143 7839 17906 19000 16569 26832 2109 13216 3225 17929 27375 33493 17910 33047 18529 33047 33597 4854 17617 19946 31304 25437 33883 33597 28385 7839 7258 29486 30709 33718 10408 7839 26926 33718 35078 3571 33718 16560 7839 33597 31605 23160 27492 33718 33597 17788 3225 32158 21661 19662 24214 33047 5120 249 16550 33273 3948 1834 2109 33273 34838 7839 3948 30250 3225 21812 9792 1834 16527 3948 30250 32450 7779 9282 10242 6276 33718 8844 13062 3225 12126 21661 7595 4222 16569 30709 25780 23859 26434 31524 21263 33597 444 17393 32138 31061 2818 3225 18349 8554 8728 29489 10477"
5,3,"28287 10431 4451 3948 7258 26791 28385 33047 10477 30931 33597 20503 33047 33597 28417 11736 7839 33597 27242 33047 2962 880 11515 21263 28287 33597 4922 33667 3225 10340 3253 681 5384 33597 31150 29992 202 7839 14673 3225 28287 17929 16659 20503 32690 202 21263 28287 681 33667 3225 28287 10453 3948 15830 16347 6345 23375 7839 29583 14167 12106 20731 3225 28287 28417 23670 34592 1194 4922 926 16055 1900 20290 33597 4922 33667 32695 30931 33597 32971 5384 8844 23977 29884 27633 7839 6954 14314 18961 33597 26424 8098 28287 29299 28287 3225 35148 13945 83 7445 5384 23181 29992 15522 28287 7574 34592 31781 33597 2457 33047 8844 23161 28287 3225 34100 5364 4049 1846 32450 23060 18294 1194 33597 28417 926 11736 3225 17929 19251 33736 10507 33597 28173 16055 32982 29884 21263 12036 10340 3225 7445 21263 33597 31542 6240 17238 22559 21263 5384 23181 21263 33597 3523 7043 18806 14615 30931 33597 2379 10888 33718 9176 21263 33736 5364 7258 27660 2985 33718 24304 23669 33597 18961 26424 3225 34100 3632 7839 26923 7839 27172 1122 33718 32479 5384 9897 27429 25940 3792 33597 7354 10888 5384 33468 33718 7354 19946 4393 4668 21263 33597 9707 33047 33597 28905 22508 3225 28417 26311 26606 33736 30929 19000 249 1227 7258 20698 16716 10426 18627 21256 7839 19000 32822 9548 32449 33718 24657 3225 32112 33534 35114 26606 15522 30929 249 17379 10480 33534 23902 3225 29829 1988 33667 33597 28417 11736 27421 29583 33026 9282 32526 7258 25669 2985 880 33597 4230 7839 34931 34245 30184 29992 15522 32201 12489 3225 28417 23670 8723 7445 5384 28569 23181 26606 15522 34592 27812 26186 7839 9604 23528 26424 3792 33597 7354 32567 3225"
6,2,"4891 19220 9868 2876 249 11065 18715 1168 21263 34715 10880 21263 5384 33597 11011 21525 21263 27331 34315 3225 26539 21573 83 7258 9132 7259 7839 17683 33597 11011 25805 5384 15521 28025 33132 9282 30697 17850 7258 3425 5875 33718 21086 3225 4891 19220 33736 34448 7258 31614 11728 7839 29317 7779 34226 3225 17929 34240 13831 33597 2531 27633 26771 9872 33667 14314 9282 9709 32605 7839 33333 3225 4891 19220 11222 25231 33597 31280 33047 29188 25027 33718 27824 14167 33597 7559 912 21525 7839 26713 19670 3225 26539 2227 11222 16976 33597 31280 21263 34911 32160 4721 7258 31129 21263 33718 24195 11011 34525 33667 272 7258 16568 11342 26339 17850 33597 3353 12117 3225 17929 21584 17869 23136 28940 33597 3425 5875 4451 3948 7258 10354 8962 7839 19578 3603 33597 20889 33047 27331 34315 21263 33736 26460 27633 34316 28103 21263 32674 30584 29728 7839 8728 33597 11011 23108 17151 19946 13691 6443 3225 4630 7258 6774 5875 17968 2876 249 4891 19220 21263 4891 34315 33667 33597 5343 27695 3448 272 28287 33718 7258 30453 1958 7839 13211 13576 29653 33718 6345 30948 28632 28287 3225 26539 13945 11809 28287 33414 21799 7839 17906 7258 5875 33718 3425 30584 21929 23288 33047 34213 32164 23024 7839 7779 21785 3225 28287 13126 11123 26064 249 33597 21584 13103 20016 8490 1066 21263 4891 19220 33667 3563 29653 10605 34240 5384 22756 9282 3948 28287 21387 21263 9872 17850 6303 2424 26606 16840 33597 7559 665 28287 3225 4891 19220 24599 3822 27261 21748 681 272 31375 25559 7839 33597 34240 21263 9872 33667 33597 34240 8098 27117 7839 8022 22756 7839 27172 3603 16550 3225 26539 7709 83 4891 10880 272 5010 7839 33597 14448 2407 29095 35023 5384 33667 11065 29480 7839 28081 30931 194 29992 7839 3948 18529 33047 33597 29095 28175 21263 9709 33597 32937 33047 8005 3225 4370 21263 4891 10880 33468 33667 681 29992 9709 22183 28287 33597 4056 665 28287 33597 22756 8098 4655 7839 32937 30253 27492 14167 7727 681 24599 11011 33665 8098 33718 33597 25813 33047 11123 17151 11089 83 20685 3948 6455 8844 18185 3225 21954 15971 25896 21263 4891 19220 34448 7258 31614 25176 7839 29317 21263 15561 681 32843 33665 33718 14308 32502 11065 7559 11728 7839 33597 25618 3225 26539 272 7962 19946 27515 880 33597 19662 7108 21263 18627 30584 1546 880 9349 2495 9872 30584 17661 1194 7258 23475 11089 33047 8485 25816 3225 26539 33736 8772 7839 30642 33718 16135 29317 15561 5343 17204 24188 31083 3225 7873 12113 9370 19220 31061 23729 2826 30931 11065 421 24428 7839 33597 9923 20738 7839 31822 7839 15110 33597 29095 28175 3225 19220 20628 30931 29095 24428"
7,1,"17869 23829 21263 32674 272 33736 29530 8904 21263 8341 33597 3705 5250 11123 29585 4998 3225 1392 10882 21263 18529 33047 33597 9668 83 2868 33597 27359 11678 21263 4451 9604 19946 33597 34987 33047 27833 19800 7258 32633 27246 10066 2039 3225 6507 33667 33597 29291 18123 7839 26606 3276 30931 7258 13452 16278 3225 13442 4891 25584 30246 17850 33597 3705 21263 18627 31078 33718 6443 10621 21263 17023 7839 2157 33597 22742 11546 33047 26159 1194 7378 7258 13649 1194 2781 8098 35040 3225 17929 10875 29022 20315 5384 31250 4474 387 8098 33736 4192 5384 821 22071 33597 22748 33047 7258 3865 20256 27933 34296 7839 29857 5889 3225 6609 33718 13966 5384 34229 385 821 26606 2199 7839 7258 12341 14167 9124 3384 17968 33597 30612 33047 18022 30269 9545 5384 29977 17454 33047 33597 12081 3225 821 30269 7839 8484 3705 4891 23829 29992 11573 681 12757 7839 5562 17850 33597 15247 3819 13966 26811 5384 13649 15367 12727 33047 11869 20256 18108 33597 4998 272 8566 3225 18764 821 31061 15522 9281 249 7258 15014 24427 24243 5384 10807 3225 4370 7779 2495 33597 11678 33667 8005 13540 1167 33574 27421 14106 14475 3464 33026 33718 33597 13649 32294 21263 33178 30931 7258 2278 33047 1167 20130 7258 9124 6701 3225 28287 32329 33051 33597 6993 14520 83 32329 9282 9709 3948 30184 880 33597 15277 5384 33597 32605 7839 7637 5384 15040 33449 21263 5384 33597 32605 7839 13102 33597 10066 2039 17850 7779 16435 21263 28287 4891 23829 33667 33718 7258 1988 19946 6117 3225 821 33667 4998 17023 20699 3603 1194 4891 25584 9282 5442 7839 3948 31983 3225 6609 33718 821 2522 32583 26213 8666 2109 713 15829 19946 33597 6774 7839 28687 26213 30742 3792 34400 7839 11390 26213 30742 3225"
8,1,"17788 16401 21661 10926 13166 16435 33540 10926 26606 15522 16722 11123 13166 9124 7839 7343 21387 3865 6261 11107 16843 12702 1194 33597 17788 24671 26664 11687 3225 19178 33597 19473 33481 1673 21263 19146 33047 4854 5384 15073 58 33665 26606 15522 21839 7839 33597 18246 27984 474 23134 7839 18440 3225 34100 11042 33597 9786 30584 31375 908 5384 33597 28617 31375 15843 5384 3822 21263 33949 33597 444 22085 21263 22485 83 19384 9282 20507 7839 7497 8844 17788 26021 33888 34911 32160 7444 33718 19151 249 17834 8439 3225 17929 26546 23814 30931 33597 22085 32843 6019 34525 19946 11844 21263 28043 3792 33597 20503 7839 23358 33597 8890 272 35040 3225 28287 32329 25583 7779 4589 7258 10610 33047 19051 17850 33597 6019 21263 28287 22085 13839 23067 28547 4658 26502 33597 21584 34718 33319 3225 28287 34100 26606 15522 15648 7839 13576 5384 7839 11001 27806 19384 21263 32674 26606 3037 26911 24195 10423 13534 32690 11809 83 14314 13393 8880 19555 31525 33718 17696 3225 28287 17929 6019 33667 8005 29992 7086 23914 9827 33597 33429 83 21661 19384 8098 14208 4655 7839 7343 18334 21366 16926 9053 31525 33718 8844 26276 6114 3225 17929 4854 261 21263 33718 22844 21263 272 27755 3865 34653 16926 9053 6645 33718 8339 21263 8005 33638 3225 28287 32329 5920 9407 33597 13070 27421 34855 33026 4451 18546 17653 9872 7779 33577 4451 3445 8556 16435 880 9792 28185 7839 9604 7258 33395 7427 23116 17850 8844 33489 2868 21263 28287 33667 30109 3059 21263 33597 18246 30269 22835 3225 17929 22959 5384 12480 20184 31061 4753 33597 8890 7839 7444 33718 19151 249 33597 31525 18108 33406 10858 2781 3225 23765 21661 10926 29992 6393 83 33597 6019 272 27755 11123 2158 9786 3225 17929 3865 31525 24188 33597 27666 33047 33597 4078 32061 21263 18529 33047 33597 17788 2564 27812 6261 27866 10919 27633 24272 5384 33212 3225 2857 8439 33047 33597 15968 32061 21263 27633 33597 3571 30584 22530 21263 28031 880 16347 10926 7839 21846 83 8844 16926 9053 30584 33718 19151 249 17788 31525 3225 18064 17788 10926 14208 26606 7839 7343 33597 21486 21263 9872 31117 16894 5384 13076 10926 18627 15804 8844 15437 19946 17788 24671 2249 18656 29992 18108 33597 25813 33047 7779 9124 3225"
9,3,"26539 33667 11809 28287 32329 7074 29319 32329 20685 21286 7258 3166 30931 33597 29770 33468 3225 28287 32329 13656 33395 16347 7727 33597 3166 5384 8005 30584 31226 83 32329 7074 29319 7839 26606 22651 21929 33933 3225 28287 9269 26606 8184 7258 22156 13547 17344 23353 5384 32329 25583 32329 26606 29992 3822 1673 83 8098 9709 19670 33395 5384 10569 83 8098 16816 33395 3225 28287 31806 21263 20149 11065 13649 4062 28204 18198 27922 21263 11227 7258 3384 29001 30931 206 27053 3225 6707 13672 34448 8005 3068 17850 33597 20586 21263 20008 26276 11123 34611 17808 3225 27766 10951 24555 33597 14222 27812 21679 9872 31122 11959 16148 19473 9077 22671 9168 7839 10262 5283 880 11065 13347 3225 28201 7677 6465 7839 34371 3459 7558 33047 33665 20068 5384 31806 30584 11583 6465 33273 25559 33597 11041 3225 26539 13945 11809 28287 4137 29992 20486 35141 33312 15733 5384 32329 25583 2424 33273 7444 2826 33718 30993 249 20068 3225 28287 35148 30584 16476 3459 7558 10605 20068 5384 13576 5384 83 30584 202 3225 26238 2424 33273 13087 19000 17850 33597 31209 27421 19946 12341 14692 33026 21263 9042 8005 4451 3948 28043 8179 3225 28287 31806 31061 22651 6398 23335 15018 21263 332 30181 15642 3819 1399 28148 3225 6465 29992 2522 8844 18753 29977 23335 16382 3225 31806 25135 249 6465 17714 35111 31806 11930 33718 11065 14466 7839 33597 7839 33597 6465 7843 20149 21697 5384 3394 7258 21187 8728 23669 6465 15733 19946 11844 1194 4601 33597 7559 33933 3225"
10,4,"35148 33736 35040 8005 272 33233 27593 16763 19946 6342 13966 4474 21263 10919 27633 33597 444 3425 7839 15490 9913 21263 7839 3445 34983 7258 12350 10049 4817 31375 3225 17929 9913 21263 18627 31061 15522 27244 249 18548 1017 21263 22222 28591 27421 32674 3445 33597 11144 33026 21263 1437 249 7258 9642 30709 19946 12169 1017 19946 33597 11742 30931 24438 21086 7839 33597 32937 33047 14692 3225 4861 28476 9913 30584 33080 7839 10868 33718 33597 25376 3225 2675 3706 7558 4451 3948 2746 7839 7258 27735 29714 6639 14167 9670 32160 16763 14167 20526 24420 33597 13966 16149 3225 28995 5078 21263 13395 15756 33047 25333 33718 33597 35033 21263 33667 11809 28287 4137 12605 7258 10675 8967 880 58 16189 23664 7839 3706 957 5535 19946 33597 18305 3225 13126 16560 7839 20350 21263 25333 33736 33667 8005 9282 3948 8324 33597 26546 20736 18473 7839 18022 24488 1467 3225 10425 33597 10675 32605 7839 3948 2746 29656 33597 20550 21263 8005 35040 8005 9282 7483 7258 15668 14106 13567 27421 1167 9933 33026 7258 2495 16763 7279 880 27261 33718 33597 35033 22522 18022 16763 17271 3225 35148 33667 8005 9282 16183 1701 33597 12718 33047 18022 17271 14167 25864 15561 16763 3706 30584 15770 14167 438 30931 33288 7839 7991 3225 28287 4137 24188 17578 7839 12761 7779 1194 13763 7258 25728 8853 16020 880 33597 12525 32162 3225 28287 26539 33667 7779 272 16250 15073 34654 11825 16763 4474 21263 10919 27633 83 3146 19946 34001 1017 21263 33734 9709 12761 874 3225 4891 13498 13945 83 33597 24488 18743 33718 11506 272 18943 10675 21263 249 11001 18334 3083 880 18334 4474 18627 9282 28939 17084 880 24488 19384 33718 4772 3225 14 33047 24488 18743 31824 24188 28050 33718 1975 21263 11333 21263 880 33597 10952 18627 29964 30931 22448 7839 25352 10766 3225 25333 5876 19946 16055 31054 20550 16055 8347 15073 10665 15561 33597 21925 31061 7839 574 18627 27593 6639 30584 15770 7839 29391 8853 21263 33597 27008 18470 33597 21934 332 31926 3225 17929 21003 18487 21263 15255 33718 33597 25376 21263 30584 11123 4038 7839 33597 25558 20577 32469 21263 33597 33822 34265 25541 16763 21003 5608 3225 35148 28452 33597 6341 1194 24488 10926 880 10665 83 24188 3836 27181 3117 3225 17929 27008 31061 7258 17714 83 33273 3948 4182 5384 4009 19670 8005 33273 3948 10319 3836 7258 19136 19256 21263 2109 27633 7258 27167 16730 33254 3225 17929 35158 20464 33254 21263 249 29977 18865 5384 7258 16866 21842 21263 28452 33597 20379 33047 34654 4306 10179 15255 7779 9124 21263 10919 27633 28878 22336 3225 28287 9241 33718 728 4854 28488 24188 14208 24488 14167 25012 14314 1226 560 16435 1557 5384 17910 33047 33597 20550 21263 28287 4901 13498 21263 25308 30269 9545 21263 26502 7258 26017 5875 17850 33597 10952 21891 4968 33718 1975 3225 26539 13945 11809 28287 27136 14314 32605 30584 8844 20550 12903 14314 24188 17910 33047 33597 20550 3225 28287 25333 33667 8005 272 16455 8783 9604 3603 880 24195 8005 28031 28287 8910 33718 7258 11785 28287 10665 21263 249 3823 24757 4192 33718 3661 14208 3225"
