id,category
1,3
2,3
3,1
4,3
5,2
6,3
7,1
8,2
9,1
10,5
11,2
12,3
13,1
14,3
15,1
16,1
17,2
18,3
19,3
20,1
21,2
22,1
23,5
24,3
25,2
26,3
27,1
28,3
29,1
30,5
31,1
32,1
33,2
34,3
35,3
36,1
37,3
38,1
39,2
40,3
41,1
42,2
43,1
44,3
45,1
46,1
47,5
48,2
49,1
50,1
51,1
52,5
53,3
54,3
55,1
56,5
57,3
58,1
59,3
60,2
61,3
62,3
63,1
64,1
65,3
66,2
67,1
68,3
69,3
70,3
71,3
72,5
73,1
74,3
75,3
76,5
77,3
78,2
79,3
80,1
81,2
82,3
83,3
84,1
85,1
86,2
87,1
88,3
89,3
90,3
91,2
92,3
93,2
94,1
95,5
96,2
97,5
98,1
99,2
100,1
101,2
102,3
103,5
104,3
105,5
106,3
107,3
108,3
109,3
110,1
111,2
112,3
113,5
114,3
115,3
116,3
117,1
118,1
119,2
120,3
121,3
122,1
123,1
124,2
125,1
126,3
127,2
128,3
129,1
130,1
131,2
132,1
133,1
134,1
135,2
136,1
137,1
138,3
139,1
140,1
141,1
142,3
143,3
144,3
145,3
146,1
147,5
148,3
149,5
150,2
151,1
152,1
153,5
154,3
155,1
156,1
157,3
158,3
159,2
160,3
161,3
162,3
163,1
164,1
165,3
166,2
167,2
168,5
169,5
170,3
171,1
172,1
173,3
174,5
175,5
176,2
177,2
178,5
179,3
180,1
181,2
182,3
183,3
184,3
185,3
186,1
187,3
188,1
189,3
190,1
191,3
192,3
193,3
194,2
195,1
196,1
197,1
198,2
199,1
200,3
201,1
202,1
203,1
204,1
205,2
206,3
207,5
208,1
209,3
210,1
211,1
212,5
213,1
214,1
215,2
216,1
217,3
218,5
219,1
220,5
221,3
222,1
223,1
224,1
225,2
226,1
227,3
228,3
229,3
230,1
231,1
232,1
233,2
234,3
235,1
236,2
237,1
238,3
239,2
240,1
241,1
242,2
243,1
244,2
245,1
246,3
247,5
248,3
249,1
250,1
251,1
252,2
253,1
254,1
255,5
256,3
257,2
258,2
259,2
260,1
261,2
262,1
263,1
264,3
265,1
266,5
267,2
268,2
269,3
270,1
271,1
272,5
273,3
274,3
275,1
276,3
277,1
278,3
279,2
280,3
281,5
282,3
283,5
284,1
285,2
286,3
287,3
288,2
289,2
290,3
291,1
292,5
293,2
294,3
295,3
296,5
297,5
298,3
299,1
300,2
301,1
302,1
303,2
304,1
305,3
306,1
307,1
308,1
309,2
310,5
311,2
312,3
313,3
314,3
315,1
316,3
317,3
318,3
319,2
320,5
321,2
322,3
323,2
324,1
325,1
326,2
327,2
328,3
329,1
330,1
331,1
332,3
333,5
334,3
335,1
336,5
337,1
338,3
339,1
340,1
341,2
342,5
343,5
344,3
345,1
346,3
347,3
348,5
349,2
350,1
351,2
352,2
353,3
354,1
355,1
356,5
357,5
358,3
359,2
360,5
361,1
362,1
363,2
364,2
365,3
366,3
367,3
368,1
369,3
370,5
371,1
372,3
373,1
374,3
375,3
376,2
377,1
378,2
379,1
380,1
381,3
382,3
383,2
384,3
385,3
386,1
387,3
388,3
389,3
390,5
391,3
392,2
393,1
394,5
395,1
396,5
397,1
398,2
399,2
400,2
401,1
402,2
403,1
404,1
405,3
406,2
407,5
408,2
409,2
410,2
411,5
412,2
413,3
414,2
415,5
416,2
417,1
418,3
419,2
420,3
421,1
422,3
423,2
424,5
425,1
426,1
427,1
428,2
429,1
430,1
431,2
432,1
433,3
434,2
435,1
436,5
437,1
438,5
439,1
440,2
441,3
442,1
443,5
444,1
445,3
446,3
447,1
448,1
449,1
450,3
451,1
452,3
453,1
454,3
455,5
456,5
457,3
458,3
459,1
460,2
461,2
462,5
463,1
464,1
465,1
466,1
467,3
468,3
469,5
470,5
471,2
472,5
473,5
474,2
475,5
476,2
477,3
478,2
479,3
480,1
481,5
482,3
483,1
484,1
485,1
486,1
487,3
488,1
489,1
490,2
491,1
492,1
493,2
494,2
495,1
496,5
497,1
498,1
499,5
500,3
501,3
502,3
503,1
504,2
505,3
506,3
507,1
508,3
509,3
510,3
511,3
512,3
513,3
514,1
515,3
516,1
517,5
518,2
519,2
520,2
521,5
522,1
523,2
524,1
525,1
526,3
527,1
528,2
529,2
530,3
531,3
532,1
533,1
534,2
535,3
536,2
537,2
538,5
539,1
540,2
541,1
542,5
543,5
544,1
545,3
546,2
547,2
548,1
549,5
550,3
551,1
552,1
553,2
554,1
555,3
556,1
557,2
558,1
559,1
560,3
561,1
562,5
563,2
564,1
565,3
566,1
567,2
568,3
569,1
570,5
571,1
572,3
573,1
574,2
575,3
576,1
577,2
578,1
579,3
580,3
581,3
582,3
583,3
584,5
585,5
586,1
587,2
588,2
589,1
590,1
591,5
592,2
593,1
594,1
595,3
596,2
597,3
598,2
599,2
600,3
601,1
602,3
603,2
604,2
605,5
606,3
607,3
608,1
609,2
610,5
611,3
612,2
613,2
614,2
615,1
